Trial #,Failure Mode,Total Cost,Time to Objective,Num Comms
744,No Failure,295.00,71,0
745,No Failure,287.00,70,0
746,Out of Time,1228.00,300,9
747,Out of Time,1252.00,300,15
748,Drones got Stuck,348.00,58,28
749,Out of Time,1220.00,300,8
750,Drones got Stuck,252.00,52,10
751,Drones got Stuck,260.00,46,18
752,No Failure,499.00,123,0
753,Out of Time,1208.00,300,4
754,No Failure,711.00,175,0
755,Out of Time,1212.00,300,5
756,Out of Time,1224.00,300,9
757,No Failure,1027.00,253,2
758,Drones got Stuck,1140.00,264,22
759,Out of Time,1208.00,300,4
760,No Failure,780.00,183,13
761,Out of Time,1236.00,300,11
762,Drones got Stuck,384.00,68,42
763,No Failure,227.00,54,0
764,No Failure,455.00,112,0
765,Drones got Stuck,512.00,90,46
766,Budget runs out,1280.00,299,23
767,Budget runs out,1280.00,286,46
768,Out of Time,1208.00,300,4
769,No Failure,275.00,66,0
770,No Failure,727.00,177,0
771,Out of Time,1208.00,300,4
772,No Failure,739.00,181,0
773,No Failure,915.00,225,2
774,Out of Time,1208.00,300,4
775,Drones got Stuck,748.00,163,42
776,No Failure,375.00,90,0
777,Out of Time,1232.00,300,10
778,Drones got Stuck,500.00,112,12
779,No Failure,367.00,87,0
780,No Failure,459.00,114,0
781,No Failure,847.00,207,2
782,No Failure,1103.00,270,4
783,Drones got Stuck,904.00,213,13
784,Out of Time,1208.00,300,4
785,No Failure,1127.00,278,4
786,Drones got Stuck,656.00,141,23
787,Out of Time,1280.00,300,22
788,No Failure,407.00,100,0
789,Out of Time,1208.00,300,4
790,No Failure,971.00,230,13
791,No Failure,391.00,94,0
792,No Failure,1215.00,299,4
793,No Failure,503.00,119,6
794,Out of Time,1216.00,300,6
795,No Failure,755.00,185,2
796,Budget runs out,1280.00,295,27
797,Out of Time,1208.00,300,4
798,No Failure,683.00,167,0
799,Out of Time,1260.00,300,18
800,No Failure,903.00,223,3
801,No Failure,231.00,55,0
802,Budget runs out,1284.00,295,28
803,Drones got Stuck,1172.00,277,22
804,Out of Time,1212.00,300,6
805,Out of Time,1208.00,300,4
806,No Failure,535.00,131,0
